视频时长,视频数量
31.53333282,3
31.48981857,1
31,8
30.733333,1
30.70000076,1
30.7,1
30.6,1
30.3433342,4
30.037333,4
30,4
29.5,1
29.31999969,2
28.96666718,1
28.73333359,1
28,4
27.5,1
27.35501,1
27,4
26.93333244,1
26.7183342,3
26.333333,1
26.066667,1
26,81
25.53333282,1
25.33333333,2
25.31666756,1
25.2,1
25.151678,3
25,7
24.5,2
24.37834549,5
24.36666679,1
24.34167862,1
24.16666603,1
24.085333,1
24,5
23.96666718,1
23.69781899,1
23.66666603,1
23.3838768,1
23.3,1
23.2,1
23.15472,1
23.03333282,2
22.83117867,1
22.5,1
22.38168,1
22.35302,2
22.26666641,1
22.1105,4
22,8
21.93333,1
21.91501045,1
21.58269882,1
21.166667,1
21,46
20.75206,1
20.466667,1
20.29999924,1
20.18503,1
20.17870712,1
20.13333321,1
20.11835,1
20,11
19.866667,1
19.59666634,1
19.58789063,1
19.28667,1
19,14
18.86666679,1
18.79999924,1
18.78000069,1
18.68,5
18.21667,1
18.07670021,1
18.04655266,1
18.03333282,1
18,7
17.86058998,1
17.7966671,1
17.73333359,1
17.70983315,1
17.53834534,1
17.49666595,1
17.46666718,1
17.13333321,1
17.01659775,1
17,27
16.99600983,1
16.866667,1
16.81166649,1
16.74501228,1
16.53333282,4
16.46666718,2
16.466667,3
16.31666667,1
16.29999924,1
16.27834511,1
16.16018105,1
16.092,5
16.07666588,1
16.06666756,1
16,51
15.9,1
15.87167835,1
15.54192734,1
15.49666691,1
15.46333313,1
15.44707,1
15.24451256,1
15.14175701,1
15,13
14.933333,1
14.84333324,1
14.60834503,1
14.57501125,1
14.5666666,1
14.54401398,1
14.50981903,1
14.46666622,1
14.37487507,1
14.36666679,1
14.243333,1
14.24333286,21
14.23074818,1
14.21000004,1
14.20483017,1
14.19999981,2
14.14167786,1
14.10000038,1
14.0127,1
14,27
13.92,1
13.90825367,1
13.87333298,1
13.7,1
13.69999981,1
13.67501,1
13.63834476,1
13.6229248,1
13.54167843,1
13.39999962,2
13.34000015,1
13.233333,1
13.22999954,1
13.21168,1
13.14167786,1
13,31
12.91002274,1
12.88664,1
12.83333302,1
12.80705261,1
12.73333359,1
12.666667,2
12.63744068,1
12.63333321,3
12.63000011,1
12.609,4
12.533333,3
12.50921535,1
12.44417191,1
12.4,1
12.37349224,3
12.266667,1
12.23165512,1
12.20671177,1
12.14478493,1
12.133333,1
12.07553291,1
12.0666666,2
12,34
11.97378731,1
11.96666622,2
11.933333,4
11.92263031,1
11.866667,1
11.86666679,1
11.8441,1
11.84000015,1
11.83167839,1
11.80000019,1
11.8,1
11.766667,1
11.73333359,1
11.733333,2
11.73333,1
11.71664429,1
11.7033329,5
11.69834423,1
11.666667,1
11.66666698,2
11.63333321,2
11.60333347,1
11.60000038,1
11.5666666,1
11.54181385,1
11.50833321,1
11.4832201,1
11.47501087,2
11.466667,1
11.45501137,1
11.44170094,1
11.44167805,1
11.4333334,1
11.416667,1
11.4,1
11.37965965,1
11.366667,4
11.36666679,6
11.30668926,1
11.30600929,3
11.233333,2
11.2033329,1
11.17167759,1
11.16310692,1
11.14000034,1
11.10501099,1
11.066667,1
11.0666666,3
11.0516777,1
11,70
10.97805023,1
10.96666622,1
10.96,3
10.94414997,1
10.9333334,1
10.9,1
10.89999962,1
10.89975071,1
10.86666679,1
10.84297,1
10.83333302,1
10.80666637,1
10.77455807,1
10.7730608,1
10.77263069,1
10.73999977,1
10.73333359,1
10.69999981,1
10.67667,1
10.666667,3
10.66666698,2
10.6412468,1
10.633333,1
10.60834503,1
10.60002232,1
10.60000038,1
10.5983448,1
10.57333374,1
10.56667,1
10.56501102,1
10.53920269,1
10.53333378,1
10.52333355,1
10.50666714,1
10.50501156,2
10.50333309,1
10.5,2
10.496,2
10.49530602,1
10.47435379,1
10.47333336,2
10.46666622,1
10.45,1
10.43913269,1
10.43909264,1
10.43666649,1
10.4333334,6
10.433333,7
10.43167782,2
10.41832161,1
10.39863968,1
10.37501144,1
10.371667,1
10.36666679,1
10.3409071,1
10.3394556,1
10.30000019,1
10.27319717,1
10.23333359,1
